COMPANY,RPNA_DATE_UTC,TIMESTAMP_UTC,RP_ENTITY_ID,ENTITY_TYPE,NEWS_TYPE,RP_STORY_ID,AEV,RP_STORY_EVENT_INDEX,RP_STORY_EVENT_COUNT,PEQ,BEE,BMQ,BAM,BCA,BER,ANL_CHG,MCQ,RPNA_DATE_UTC,,
US/AMZN,4/1/2018,56:56.8,0157B1,COMP,PRESS-RELEASE,756F3688AF99394C4571BF69CB1C2D8E,45,2,6,50,50,100,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,58:04.1,0157B1,COMP,PRESS-RELEASE,651E872EA6A20D049E7C3D4F3EC7C354,45,3,8,50,50,50,100,100,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,00:06.0,0157B1,COMP,PRESS-RELEASE,491D253E751A6ED152F77A6C93079BDE,45,1,7,50,50,100,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,12:00.3,0157B1,COMP,PRESS-RELEASE,7F3755CD2F7B4398FE5260A949EEAF29,45,3,8,50,100,100,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,16:00.3,0157B1,COMP,PRESS-RELEASE,F1526E28E416F338ACB64EE00B7003D4,45,5,5,100,50,100,50,50,0,50,50,4/1/2018,,
US/AMZN,4/1/2018,00:06.4,0157B1,COMP,PRESS-RELEASE,80D19B9479A4E5B3F887CE7E02B67C92,45,2,7,100,50,50,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,00:25.0,0157B1,COMP,PRESS-RELEASE,60DF382599F25E56950DAEF7CDD54F02,45,2,7,100,50,50,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,02:00.3,0157B1,COMP,PRESS-RELEASE,407215DC5E84CAEB56FBBC4AE064E73C,45,1,3,50,50,50,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,48:35.6,0157B1,COMP,PRESS-RELEASE,CE5EFB0A74CD1B02CCA86ECEBD2C06E8,45,2,5,50,50,100,50,100,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,17:33.0,0157B1,COMP,PRESS-RELEASE,A213E7BC6FAC9E28736DF99B10403705,45,3,4,50,50,50,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,53:00.3,0157B1,COMP,PRESS-RELEASE,E5436FEDB6B2DC1A0E848661385E460B,45,4,11,50,50,50,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,03:52.0,0157B1,COMP,PRESS-RELEASE,67AF3714BD89BF65C95E61A812BC116F,45,2,11,50,50,100,50,50,50,50,50,4/1/2018,,
US/AMZN,4/1/2018,23:18.7,0157B1,COMP,PRESS-RELEASE,AD2552BC53F097C052A011C0F5D85A8A,45,1,5,50,50,100,50,100,100,50,50,4/1/2018,,
US/AMZN,4/1/2018,15:02.3,0157B1,COMP,PRESS-RELEASE,3AC4726E0291851FD5F01693B632B319,45,1,3,50,50,50,50,50,50,50,50,4/1/2018,,
